EmployeeID,FullName,Department,Gender,Age,AnnualSalary,Country
E02166,John Soto,Finance,Male,60,141899.00,United States
E00935,Joseph Martin,Marketing,Male,41,64847.00,United States
E01525,Jose Ross,Engineering,Male,53,116878.00,United States
E00386,Parker James,Engineering,Male,45,70505.00,United States
E00416,Everleigh Fernandez,Engineering,Female,30,189702.00,Brazil
E03383,Lincoln Hall,Accounting,Male,26,180664.00,United States
E01516,Willow Mai,Human Resources,Female,45,48345.00,China
E01234,Jack Cheng,Human Resources,Male,42,152214.00,China
E03440,Genesis Navarro,IT,Female,41,69803.00,Brazil
E00431,Eliza Hernandez,IT,Female,48,76588.00,Brazil
E01258,Gabriel Brooks,IT,Male,29,84596.00,United States
E00440,Jack Huynh,Marketing,Male,27,114441.00,China
E00595,Everly Chow,Finance,Female,33,140402.00,China
E00972,Amelia Salazar,Finance,Female,26,59817.00,Brazil
E04562,Xavier Zheng,Sales,Male,31,55854.00,United States
E02802,Matthew Chau,Human Resources,Male,53,95998.00,United States
E01427,Mia Cheng,Sales,Female,34,154941.00,United States
E04568,Rylee Yu,Finance,Female,54,247022.00,China
E04931,Zoe Romero,IT,Female,32,88072.00,Brazil
E00443,Nolan Bui,IT,Male,28,67925.00,China
E03890,Nevaeh Jones,Sales,Female,31,219693.00,United States
E01194,Samantha Adams,Engineering,Female,45,61773.00,United States
E02875,Madeline Shin,IT,Female,48,74546.00,United States
E04959,Noah King,Engineering,Male,56,62575.00,United States
E03816,Leilani Chow,Human Resources,Female,27,199041.00,China
E01261,Connor Simmons,Accounting,Male,55,52310.00,United States
E03612,Grayson Cooper,Finance,Male,64,159571.00,United States
E01388,Ivy Soto,Engineering,Female,50,91763.00,United States
E03875,Aurora Simmons,Engineering,Female,51,96475.00,United States
E04413,Andrew Thomas,Engineering,Male,36,113781.00,United States
E00691,Ezekiel Desai,Finance,Male,42,166599.00,United States
E03047,Gabriella Gupta,Sales,Female,41,95372.00,China
E04903,Skylar Liu,IT,Female,29,161203.00,China
E04735,Nova Coleman,IT,Female,44,74738.00,United States
E02850,Evelyn Dinh,Sales,Female,41,171173.00,United States
E03583,Brooks Marquez,Sales,Male,61,201464.00,United States
E02017,Connor Joseph,Human Resources,Male,50,174895.00,United States
E01642,Mia Lam,IT,Female,49,134486.00,United States
E04379,Scarlett Rodriguez,Finance,Female,60,71699.00,Brazil
E04131,Cora Rivera,Marketing,Female,42,94430.00,United States
E02872,Liam Jung,Finance,Male,39,103504.00,China
E02331,Sophia Huynh,IT,Female,55,92771.00,United States
E00417,Athena Carrillo,Finance,Female,39,71531.00,United States
E04267,Greyson Sanders,IT,Male,28,90304.00,United States
E03061,Vivian Lewis,Marketing,Female,65,104903.00,United States
E00013,Elena Vang,Finance,Female,52,55859.00,China
E04265,Natalia Diaz,Engineering,Female,62,79785.00,United States
E04769,Mila Leung,Marketing,Female,39,99017.00,China
E03042,Ava Nelson,IT,Female,63,53809.00,United States
E00527,Mateo Chu,Engineering,Male,27,71864.00,China
E01095,Isla Lai,Finance,Female,37,225558.00,China
E03131,Ezekiel Reed,IT,Male,37,128984.00,United States
E01713,Nolan Guzman,Engineering,Male,46,96997.00,Brazil
E00128,Everleigh Espinoza,Human Resources,Female,54,176294.00,United States
E03849,Evelyn Jung,Sales,Female,30,48340.00,China
E02464,Sophie Silva,Engineering,Female,28,240488.00,Brazil
E00306,Mateo Williams,IT,Male,40,97339.00,United States
E03737,Kennedy Rahman,Human Resources,Female,49,211291.00,China
E02783,Levi Mendez,Sales,Male,39,249506.00,Brazil
E02939,Julian Fong,Engineering,Male,61,80950.00,China
E02706,Nevaeh Kang,Engineering,Female,46,86538.00,China
E00170,Hannah Nelson,Marketing,Female,35,70992.00,United States
E01425,Anthony Rogers,Engineering,Male,33,205314.00,United States
E00130,Paisley Kang,Human Resources,Female,61,196951.00,China
E02094,Matthew Gupta,IT,Male,45,67686.00,China
E03567,Silas Chavez,IT,Male,51,86431.00,United States
E04682,Colton Thao,Human Resources,Male,55,125936.00,China
E00957,Genesis Perry,Sales,Female,46,149712.00,United States
E04458,Alexander Bryant,Engineering,Male,30,88758.00,United States
E01499,Elias Zhang,IT,Male,54,83639.00,China
E00521,Lily Carter,IT,Female,54,68268.00,United States
E03717,Joseph Ruiz,Engineering,Male,45,75819.00,Brazil
E01533,Avery Bailey,Sales,Female,49,86658.00,United States
E04449,Miles Hsu,Finance,Male,55,74552.00,China
E02855,Piper Cheng,IT,Female,62,82839.00,United States
E00816,Skylar Watson,IT,Female,28,64475.00,United States
E02283,Jaxon Park,IT,Male,33,69453.00,China
E04888,Elijah Henry,IT,Male,32,127148.00,United States
E03907,Camila Watson,Finance,Female,32,190253.00,United States
E02166,Lucas Thomas,Accounting,Male,55,115798.00,United States
E00431,Skylar Doan,Human Resources,Female,58,93102.00,United States
E01501,Hudson Liu,Engineering,Male,34,110054.00,United States
E01141,Gianna Williams,Engineering,Female,27,95786.00,United States
E02254,Jaxson Sandoval,Sales,Male,61,90855.00,Brazil
E04504,Jameson Alvarado,IT,Male,47,92897.00,Brazil
E03394,Joseph Ly,Marketing,Male,40,242919.00,China
E02942,Daniel Richardson,Engineering,Male,30,184368.00,United States
E04130,Elias Figueroa,Finance,Male,45,144754.00,United States
E02848,Emma Brooks,Sales,Female,30,89458.00,United States
E00085,Isla Wong,Accounting,Female,56,190815.00,United States
E03956,Everly Walker,Sales,Female,62,137995.00,United States
E00672,Mila Pena,Human Resources,Female,45,93840.00,Brazil
E04618,Mason Zhao,IT,Male,46,94790.00,China
E03506,Jaxson Mai,Human Resources,Male,48,197367.00,United States
E00568,Ava Garza,Accounting,Female,27,174097.00,United States
E00535,Nathan Mendez,IT,Male,53,120128.00,United States
E04630,Maria Griffin,Marketing,Female,59,129708.00,United States
E00874,Alexander Choi,Marketing,Male,55,102270.00,United States
E01546,Maria Hong,Finance,Female,43,249686.00,China
E00941,Sophie Ali,Finance,Female,55,50475.00,United States
E03446,Julian Ross,Marketing,Male,51,100099.00,United States
E01361,Emma Hill,IT,Female,54,41673.00,United States
E01631,Leilani Yee,Marketing,Female,47,70996.00,China
E03719,Jack Brown,Marketing,Male,55,40752.00,United States
E03269,Charlotte Chu,IT,Female,50,97537.00,China
E01037,Jeremiah Chu,IT,Male,31,96567.00,China
E00671,Miles Cho,IT,Male,47,49404.00,China
E02216,Caleb Marquez,IT,Male,29,66819.00,Brazil
E02803,Eli Soto,Marketing,Male,38,50784.00,Brazil
E01584,Carter Mejia,Human Resources,Male,29,125828.00,Brazil
E02489,Ethan Clark,Human Resources,Male,33,92610.00,United States
E03189,Asher Jackson,Sales,Male,50,123405.00,United States
E03560,Ayla Ng,Sales,Female,46,73004.00,China
E00769,Jose Kang,Engineering,Male,57,95061.00,China
E02791,Aubrey Romero,Sales,Female,49,160832.00,United States
E02333,Jaxson Wright,IT,Male,54,64417.00,United States
E01002,Elias Ali,Sales,Male,28,127543.00,China
E03520,Nolan Pena,Marketing,Male,30,56154.00,Brazil
E00752,Luna Liu,Sales,Female,36,218530.00,China
E00233,Brooklyn Reyes,IT,Female,36,91954.00,United States
E02639,Hadley Parker,Marketing,Female,30,221217.00,United States
E00697,Jonathan Chavez,IT,Male,29,87536.00,United States
E02183,Sarah Ayala,Sales,Female,47,41429.00,United States
E00715,Elijah Kang,Engineering,Male,35,245482.00,United States
E04288,Ella White,Engineering,Female,25,71359.00,United States
E02421,Jordan Truong,Engineering,Male,45,183161.00,United States
E00523,Daniel Jordan,IT,Male,58,69260.00,United States
E03615,Daniel Dixon,Engineering,Male,51,95639.00,United States
E02761,Luca Duong,Human Resources,Male,48,120660.00,China
E02121,Levi Brown,Sales,Male,36,75119.00,United States
E01486,Mason Cho,Accounting,Male,59,192213.00,United States
E00725,Nova Herrera,Sales,Female,45,65047.00,Brazil
E03027,Elijah Watson,Sales,Male,29,151413.00,United States
E03689,Wesley Gray,Accounting,Male,62,76906.00,United States
E01986,Wesley Sharma,IT,Male,51,122802.00,China
E01286,Mateo Mendez,Engineering,Male,47,99091.00,United States
E01409,Jose Molina,Engineering,Male,40,113987.00,Brazil
E00626,Luna Simmons,Finance,Female,28,95045.00,United States
E04342,Samantha Barnes,Marketing,Female,29,190401.00,United States
E03904,Hunter Ortiz,Finance,Male,46,86061.00,Brazil
E01291,Thomas Aguilar,Sales,Male,45,79882.00,United States
E00917,Skylar Bell,Engineering,Female,30,255431.00,United States
E01484,Anna Zhu,IT,Female,48,82017.00,China
E03864,Ella Hunter,Finance,Female,51,53799.00,United States
E00488,Emery Hunter,Sales,Female,28,82739.00,United States
E02227,Sofia Parker,IT,Female,36,99080.00,United States
E04802,Lucy Fong,Sales,Female,40,96719.00,China
E01970,Vivian Barnes,Human Resources,Female,51,180687.00,United States
E02813,Kai Chow,Engineering,Male,45,95743.00,United States
E02031,Melody Cooper,Engineering,Female,44,89695.00,United States
E03252,James Bui,Finance,Male,64,122753.00,China
E04871,Liam Grant,Human Resources,Male,30,93734.00,United States
E03547,Owen Han,Accounting,Male,28,52069.00,China
E04742,Kinsley Vega,Accounting,Female,33,258426.00,Brazil
E01070,Leonardo Martin,Finance,Male,51,125375.00,United States
E04359,Greyson Lam,Accounting,Male,25,198243.00,United States
E03268,Emilia Rivera,Engineering,Female,42,96023.00,United States
E04035,Penelope Johnson,Marketing,Female,34,83066.00,United States
E01221,Eva Figueroa,Sales,Female,48,61216.00,United States
E00276,Ezekiel Jordan,Accounting,Male,33,144231.00,United States
E01687,Luke Mai,Human Resources,Male,41,51630.00,China
E02844,Charles Diaz,Sales,Male,55,124129.00,Brazil
E01263,Adam Espinoza,Engineering,Male,36,60055.00,United States
E00119,Jack Maldonado,Engineering,Male,31,189290.00,Brazil
E03935,Cora Jiang,IT,Female,53,182202.00,United States
E00742,Cooper Mitchell,Sales,Male,43,117518.00,United States
E02810,Layla Torres,Finance,Female,37,157474.00,Brazil
E01860,Jack Edwards,Marketing,Male,38,126856.00,United States
E04890,Eleanor Chan,Accounting,Female,49,129124.00,China
E02285,Aria Xi,Sales,Female,45,165181.00,United States
E00842,John Vega,Finance,Male,50,247939.00,Brazil
E01271,Luke Munoz,Engineering,Male,64,169509.00,Brazil
E01921,Sarah Daniels,Accounting,Female,55,138521.00,United States
E03664,Aria Castro,Engineering,Female,45,113873.00,Brazil
E00813,Autumn Joseph,IT,Female,39,73317.00,United States
E00870,Evelyn Liang,IT,Female,40,69096.00,United States
E04167,Henry Alvarez,Human Resources,Male,48,87158.00,Brazil
E00245,Benjamin Delgado,Engineering,Male,64,70778.00,United States
E00976,Zoe Rodriguez,Human Resources,Female,65,153938.00,United States
E04112,Axel Chu,IT,Male,43,59888.00,China
E01807,Cameron Evans,Engineering,Male,50,63098.00,United States
E04103,Isabella Soto,Finance,Female,27,255369.00,Brazil
E01412,Eva Jenkins,Human Resources,Female,55,142318.00,United States
E04386,Cameron Powell,Human Resources,Male,41,49186.00,United States
E01232,Samantha Foster,Human Resources,Female,34,220937.00,United States
E04572,Jade Li,IT,Female,47,183156.00,United States
E02747,Kinsley Acosta,IT,Female,32,192749.00,United States
E01064,Clara Kang,IT,Female,39,135325.00,United States
E00178,Harper Alexander,Sales,Female,26,79356.00,United States
E01091,Carter Reed,Engineering,Male,40,74412.00,United States
E01525,Charlotte Ruiz,IT,Female,32,61886.00,Brazil
E01309,Everleigh Jiang,Accounting,Female,58,173071.00,United States
E02378,Audrey Smith,Engineering,Female,58,70189.00,United States
E04127,Emery Acosta,Sales,Female,42,181452.00,United States
E02072,Charles Robinson,Human Resources,Male,26,70369.00,United States
E02555,Landon Lopez,Accounting,Male,38,78056.00,Brazil
E00187,Miles Mehta,Finance,Male,64,189933.00,United States
E04332,Ezra Simmons,Engineering,Male,38,78237.00,United States
E02062,Nora Santiago,Accounting,Female,55,48687.00,Brazil
E00034,Caroline Herrera,Marketing,Female,45,121065.00,Brazil
E00273,David Owens,Sales,Male,43,94246.00,United States
E00691,Avery Yee,IT,Female,34,44614.00,United States
E01403,Xavier Park,IT,Male,40,234469.00,China
E03438,Asher Morales,Engineering,Male,52,88272.00,Brazil
E04136,Mason Cao,Finance,Male,52,74449.00,China
E02944,Joshua Fong,Engineering,Male,47,222941.00,China
E03300,Maria Chin,Marketing,Female,65,50341.00,China
E00078,Eva Garcia,Human Resources,Female,31,72235.00,Brazil
E00825,Anna Molina,Accounting,Female,41,70165.00,United States
E04972,Logan Bryant,Marketing,Male,30,148485.00,United States
E03941,Isla Han,IT,Female,58,86089.00,United States
E02148,Christopher Vega,Engineering,Male,54,106313.00,United States
E02252,Lillian Park,Marketing,Female,40,46833.00,China
E03096,Kennedy Zhang,Finance,Female,63,155320.00,China
E04800,Eli Han,Accounting,Male,40,89984.00,China
E02838,Julia Pham,Engineering,Female,65,83756.00,China
E02980,Hailey Shin,Human Resources,Female,57,176324.00,China
E04477,Connor Grant,Accounting,Male,27,74077.00,United States
E04348,Natalia Owens,Human Resources,Female,31,104162.00,United States
E01638,Maria He,IT,Female,45,82162.00,China
E03419,Jade Yi,Sales,Female,47,63880.00,China
E04222,Quinn Xiong,Engineering,Female,55,73248.00,United States
E04126,Dominic Baker,Accounting,Male,51,91853.00,United States
E01896,Adam Nelson,Finance,Male,25,168014.00,United States
E03018,Autumn Reed,Engineering,Female,37,70770.00,United States
E03325,Robert Edwards,Human Resources,Male,62,50825.00,United States
E04037,Roman Martinez,Finance,Male,31,145846.00,Brazil
E01902,Eleanor Li,Human Resources,Female,64,125807.00,United States
E01466,Connor Vang,Sales,Male,25,46845.00,United States
E02038,Ellie Chung,Marketing,Female,59,157969.00,China
E03474,Violet Hall,IT,Female,40,97807.00,United States
E02744,Dylan Padilla,Human Resources,Male,31,73854.00,United States
E00702,Nathan Pham,Accounting,Male,45,149537.00,United States
E03081,Ayla Brown,Sales,Female,49,128303.00,United States
E01281,Isaac Mitchell,IT,Male,46,67374.00,United States
E04029,Jayden Jimenez,Human Resources,Male,46,102167.00,Brazil
E01116,Jaxon Tran,Sales,Male,45,151027.00,China
E01753,Connor Fong,Accounting,Male,40,120905.00,United States
E04072,Emery Mitchell,Finance,Female,48,231567.00,United States
E00672,Landon Luu,IT,Male,31,215388.00,United States
E04419,Sophia Ahmed,Sales,Female,30,127972.00,United States
E00467,Sofia Dinh,Engineering,Female,55,80701.00,United States
E00365,Jonathan Patel,Marketing,Male,28,115417.00,China
E00306,Piper Patterson,Engineering,Female,45,88045.00,United States
E03292,Cora Evans,IT,Female,45,86478.00,United States
E04779,Cameron Young,Engineering,Male,63,180994.00,United States
E00501,Melody Ho,Finance,Female,55,64494.00,United States
E01132,Aiden Bryant,Sales,Male,47,70122.00,United States
E00556,Grayson Walker,Accounting,Male,29,181854.00,United States
E00311,Scarlett Figueroa,Human Resources,Female,34,52811.00,United States
E04567,Madeline Hoang,IT,Female,28,50111.00,China
E04378,Ezra Simmons,IT,Male,31,71192.00,United States
E03251,Ruby Medina,Sales,Female,50,155351.00,United States
E03167,Luke Zheng,Human Resources,Male,39,161690.00,China
E03347,Rylee Dinh,Engineering,Female,35,60132.00,China
E03908,Miles Evans,IT,Male,54,87216.00,United States
E01351,Leo Owens,IT,Male,47,50069.00,United States
E02681,Caroline Owens,IT,Female,26,151108.00,United States
E03807,Kennedy Do,IT,Female,42,67398.00,United States
E00422,Jade Acosta,Engineering,Female,47,68488.00,United States
E00265,Mila Vasquez,Engineering,Female,60,92932.00,United States
E04601,Allison Ayala,Finance,Female,36,43363.00,United States
E04816,Jace Zhang,IT,Male,31,95963.00,China
E02147,Allison Medina,Finance,Female,55,111038.00,Brazil
E02914,Maria Wilson,Engineering,Female,51,200246.00,United States
E03268,Everly Coleman,IT,Female,48,194871.00,United States
E03972,Jordan Gomez,Accounting,Male,58,98769.00,Brazil
E02189,Isla Chavez,Sales,Female,29,65334.00,Brazil
E04290,Hannah Gomez,IT,Female,25,83934.00,United States
E03630,Jacob Davis,Accounting,Male,36,150399.00,United States
E00432,Eli Gupta,Human Resources,Male,37,160280.00,China
E03045,Andrew Huynh,Human Resources,Male,57,54051.00,United States
E01924,Anna Gutierrez,Engineering,Female,59,150699.00,Brazil
E04877,Samuel Vega,Marketing,Male,37,69570.00,United States
E02770,Liliana Do,IT,Female,30,86774.00,China
E04590,Isaac Sanders,Human Resources,Male,49,57606.00,United States
E01977,Raelynn Gupta,Finance,Female,48,125730.00,China
E01378,Genesis Xiong,IT,Female,51,64170.00,United States
E04224,Lucas Ramos,Human Resources,Male,56,72303.00,United States
E03423,Santiago f Gonzalez,Sales,Male,36,105891.00,United States
E01584,Henry Zhu,Marketing,Male,38,255230.00,United States
E00788,Emily Contreras,Sales,Female,56,59591.00,Brazil
E00207,Hailey Lai,Human Resources,Female,52,187048.00,China
E00834,Vivian Guzman,Finance,Female,53,58605.00,United States
E04571,Hadley Contreras,Engineering,Female,60,178502.00,United States
E02652,Nathan Sun,Accounting,Male,63,103724.00,China
E02693,Grace Campos,Engineering,Female,37,156277.00,Brazil
E03359,Autumn Ortiz,Engineering,Female,30,87744.00,Brazil
E00399,Connor Walker,Finance,Male,30,54714.00,United States
E02971,Mia Wu,IT,Female,45,99169.00,China
E03327,Julia Luong,Accounting,Female,55,142628.00,China
E00900,Eleanor Delgado,Marketing,Female,33,75869.00,Brazil
E00836,Addison Roberts,IT,Female,65,60985.00,United States
E03854,Camila Li,IT,Female,60,126911.00,China
E04729,Ezekiel Fong,Sales,Male,56,216949.00,China
E00360,Dylan Thao,Engineering,Male,53,168510.00,United States
E02284,Josephine Salazar,Engineering,Female,36,85870.00,Brazil
E00181,Genesis Hu,Marketing,Female,46,86510.00,China
E04168,Mila Juarez,Sales,Female,38,119647.00,Brazil
E02861,Daniel Perry,IT,Male,62,80921.00,United States
E01357,Paisley Hunter,Engineering,Female,61,98110.00,United States
E04387,Everleigh White,IT,Female,59,86831.00,United States
E03090,Penelope Choi,IT,Female,49,72826.00,China
E03591,Piper Sun,Marketing,Female,64,171217.00,United States
E03328,Lucy Johnson,IT,Female,57,103058.00,United States
E04937,Ian Ngo,Sales,Male,52,117062.00,United States
E00515,Joseph Vazquez,Accounting,Male,40,159031.00,United States
E01241,Hadley Guerrero,IT,Female,49,125086.00,Brazil
E03255,Jose Brown,IT,Male,43,67976.00,United States
E01711,Benjamin Ford,Finance,Male,31,74215.00,United States
E00500,Henry Shah,Accounting,Male,55,187389.00,China
E04972,Ivy Daniels,Human Resources,Female,41,131841.00,United States
E02728,Thomas Chang,Accounting,Male,34,97231.00,China
E04749,Caroline Phan,Finance,Female,41,155004.00,United States
E02023,Maverick Mehta,IT,Male,40,41859.00,United States
E03166,Austin Edwards,IT,Male,42,52733.00,United States
E02599,Daniel Huang,Human Resources,Male,31,250953.00,United States
E01014,Lucas Phan,Marketing,Male,49,191807.00,China
E04529,Gabriel Yu,IT,Male,42,64677.00,China
E00085,Mason Watson,IT,Male,46,130274.00,United States
E00632,Angel Chang,IT,Male,37,96331.00,China
E02108,Madeline Coleman,Finance,Female,51,150758.00,United States
E03802,Thomas Vazquez,Engineering,Male,46,173629.00,Brazil
E03685,Silas Hunter,IT,Male,55,62174.00,United States
E01089,Nicholas Brooks,Accounting,Male,43,56555.00,United States
E03988,Dominic Thomas,Marketing,Male,48,74655.00,United States
E00401,Wesley Adams,IT,Male,48,93017.00,United States
E03429,Ian Wu,Marketing,Male,51,82300.00,China
E02417,Alice Young,Engineering,Female,46,91621.00,United States
E00359,Logan Carrillo,Marketing,Male,33,91280.00,United States
E02044,Caroline Alexander,Human Resources,Female,42,47071.00,United States
E01479,Serenity Bailey,IT,Female,55,81218.00,United States
E04962,Elena Tan,Engineering,Female,50,181801.00,China
E02769,Eliza Adams,Sales,Female,26,63137.00,United States
E03893,Alice Xiong,Engineering,Female,55,221465.00,China
E00553,Isla Yoon,Engineering,Female,50,79388.00,United States
E03540,Emma Perry,IT,Female,28,68176.00,United States
E02769,Riley Marquez,Finance,Female,39,122829.00,United States
E03277,Caroline Hu,Marketing,Female,31,126353.00,China
E04194,Madison Kumar,Accounting,Female,55,188727.00,China
E01807,Matthew Lim,Sales,Male,52,99624.00,United States
E01762,Maya Ngo,Sales,Female,55,108686.00,United States
E02632,Alice Soto,Accounting,Female,56,50857.00,Brazil
E04226,Andrew Moore,Engineering,Male,47,120628.00,United States
E04101,Olivia Harris,Sales,Female,63,181216.00,United States
E01981,Genesis Banks,Finance,Female,63,46081.00,United States
E02534,Victoria Johnson,Accounting,Female,55,159885.00,United States
E01238,Eloise Griffin,Sales,Female,55,153271.00,United States
E01118,Roman Yang,Human Resources,Male,42,114242.00,United States
E04041,Clara Huynh,IT,Female,39,48415.00,China
E04308,Kai Flores,Engineering,Male,35,65566.00,United States
E01052,Jaxson Dinh,Marketing,Male,45,147752.00,China
E04165,Sophie Vang,Marketing,Female,25,136810.00,China
E02295,Axel Jordan,Sales,Male,47,54635.00,United States
E04546,Jade Hunter,IT,Female,42,96636.00,United States
E04217,Lydia Williams,IT,Female,35,91592.00,United States
E00650,Emery Chang,Human Resources,Female,45,55563.00,China
E00344,Savannah He,IT,Female,52,159724.00,China
E04645,Elias Ahmed,Marketing,Male,57,183190.00,United States
E03880,Samantha Woods,Accounting,Female,56,54829.00,United States
E02730,Axel Soto,Engineering,Male,46,96639.00,Brazil
E04517,Amelia Choi,Marketing,Female,43,117278.00,United States
E00965,Jacob Khan,IT,Male,53,84193.00,China
E04639,Luna Taylor,IT,Female,47,87806.00,United States
E00465,Dominic Parker,Engineering,Male,62,63959.00,United States
E03058,Angel Xiong,IT,Male,35,234723.00,China
E02337,Emma Cao,Accounting,Female,27,50809.00,China
E04927,Ezekiel Bryant,Finance,Male,55,77396.00,United States
E03799,Natalie Hwang,Finance,Female,63,89523.00,United States
E04538,Adeline Yang,IT,Female,53,86173.00,China
E02633,Allison Roberts,Sales,Female,54,222224.00,United States
E02965,Andrew Do,Finance,Male,43,146140.00,United States
E04345,Eliana Grant,Engineering,Female,64,109456.00,United States
E02895,Mila Soto,Finance,Female,65,170221.00,Brazil
E01132,Gabriella Johnson,IT,Female,42,97433.00,United States
E00758,Jonathan Khan,Sales,Male,35,59646.00,China
E03750,Elias Dang,Engineering,Male,64,158787.00,China
E00144,Theodore Ngo,Engineering,Male,55,83378.00,China
E02943,Bella Lopez,Marketing,Female,32,88895.00,United States
E03901,Luca Truong,Marketing,Male,45,168846.00,China
E03461,Nathan Lau,Human Resources,Male,35,43336.00,United States
E03490,Henry Campos,Human Resources,Male,38,127801.00,United States
E04466,Connor Bell,IT,Male,54,76352.00,United States
E03226,Angel Stewart,Finance,Male,28,250767.00,United States
E04607,Landon Brown,Marketing,Male,26,223055.00,United States
E02678,Nicholas Rivera,Engineering,Male,45,189680.00,Brazil
E02190,Gabriel Carter,Engineering,Male,57,71167.00,United States
E00747,Leilani Baker,IT,Female,59,76027.00,United States
E00268,Ian Flores,Engineering,Male,48,183113.00,Brazil
E01416,Hudson Thompson,Accounting,Male,30,67753.00,United States
E01524,Ian Miller,IT,Male,31,63744.00,United States
E03849,Harper Chin,Engineering,Female,50,92209.00,China
E02801,Santiago f Brooks,Sales,Male,51,157487.00,United States
E04155,Dylan Dominguez,Marketing,Male,42,99697.00,Brazil
